
txt;P1 Zadání příkladu;60;Než se vrhneš na další video, projdi si zadání příkladu, který si v něm vysvětlíme.$ \\[1em] $Roční čtenářský poplatek již zaplatilo 40 % všech čtenářů knihovny, a poplatek tak musí zaplatit ještě zbývajících 264 čtenářů.$ \\[1em] $Kolik čtenářů má knihovna?  
vid;P1 Procenta knihovna;245;https://youtu.be/JGYUEgT_vW8
exe;P1 Příklad;180;cs;150;1

txt;P2 Zadání příkladu;60;Než se vrhneš na další video, projdi si zadání příkladu, který si v něm vysvětlíme.$ \\[1em] $Do školní družiny se přihlásilo 540 žáků, což je o pětinu více, než činí kapacita družiny.$ \\[1em] $Kolik žáků činí kapacita družiny? 
vid;P2 Procenta školní družina;168;https://youtu.be/G-yiCfhJ_vo
exe;P2 Příklad;180;cs;151;1

txt;P3 Zadání příkladu;60;Než se vrhneš na další video, projdi si zadání příkladu, který si v něm vysvětlíme.$ \\[1em] $Do školního tanečního kroužku chodí 25 žáků, což je 5 % všech žáků školy. Kroužek juda navštěvuje 20 žáků školy, přičemž čtvrtina z nich chodí navíc do tanečního kroužku.$ \\[1em] $Kolik žáků školy nechodí ani do tanečního kroužku, ani do kroužku juda? 
vid;P3 Procenta tanečníci a judisté;185;https://youtu.be/FihN698sf1E
exe;P3 Příklad;180;cs;152;1
vid;P3 Další cesty k řešení;270;https://youtu.be/evbzoY6d2SQ
